:START_ID(Person),rank:int,:END_ID(Person)
40, 5, 6281
41, 0, 61
41, 1, 9383
41, 2, 6506
41, 3, 4412
41, 4, 7716
42, 0, 4034
42, 1, 1929
42, 2, 6563
42, 3, 3494
42, 4, 5214
43, 0, 6917
43, 1, 6659
43, 2, 5430
44, 0, 9797
44, 1, 5685
45, 0, 5425
45, 1, 855
45, 2, 5255
45, 3, 4559
45, 4, 842
45, 5, 4024
45, 6, 1660
45, 7, 6336
45, 8, 1794
45, 9, 8722
45, 10, 8985
46, 0, 9425
46, 1, 3651
46, 2, 7099
47, 0, 2814
47, 1, 6003
47, 2, 7498
47, 3, 3936
47, 4, 6755
47, 5, 3714
47, 6, 1562
47, 7, 4153
48, 0, 5659
48, 1, 2966
48, 2, 9902
48, 3, 6024
48, 4, 602
49, 0, 355
49, 1, 9212
49, 2, 2
49, 3, 6823
49, 4, 1745
49, 5, 5812
49, 6, 5346
50, 0, 6886
50, 1, 7911
50, 2, 664
50, 3, 7897
50, 4, 6443
50, 5, 6171
51, 0, 5760
51, 1, 6288
51, 2, 6612
51, 3, 1121
51, 4, 5147
52, 0, 9154
52, 1, 9371
52, 2, 3791
52, 3, 9832
52, 4, 6151
52, 5, 9473
52, 6, 6313
52, 7, 9779
52, 8, 7053
53, 0, 7875
53, 1, 9656
53, 2, 1825
53, 3, 6943
53, 4, 2548
53, 5, 8331
53, 6, 3690
53, 7, 9576
53, 8, 9063
54, 0, 7296
54, 1, 8355
54, 2, 6066
54, 3, 8053
54, 4, 6989
54, 5, 5702
55, 0, 42
55, 1, 7471
55, 2, 9321
55, 3, 5805
55, 4, 6969
55, 5, 2916
56, 0, 3235
56, 1, 7082
56, 2, 5336
56, 3, 6716
56, 4, 3890
56, 5, 9457
56, 6, 9959
57, 0, 5093
57, 1, 7324
57, 2, 5483
57, 3, 5274
57, 4, 9736
57, 5, 1155
57, 6, 7777
58, 0, 2910
59, 0, 1139
59, 1, 3710
59, 2, 174
59, 3, 5229
60, 0, 3690
60, 1, 7968
60, 2, 1498
60, 3, 9843
60, 4, 3472
60, 5, 9866
60, 6, 7224
60, 7, 1328
60, 8, 4744
61, 0, 646
61, 1, 350
61, 2, 1800
61, 3, 4477
61, 4, 41
61, 5, 1440
61, 6, 4409
61, 7, 742
61, 8, 4331
62, 0, 9724
62, 1, 640
62, 2, 3551
62, 3, 4504
62, 4, 6375
63, 0, 198
63, 1, 83
63, 2, 2047
63, 3, 9637
63, 4, 2909
63, 5, 1952
64, 0, 2106
64, 1, 1978
64, 2, 5885
64, 3, 9946
65, 0, 8214
65, 1, 9400
65, 2, 6603
65, 3, 8823
65, 4, 7626
65, 5, 6331
65, 6, 5905
66, 0, 2740
66, 1, 1404
66, 2, 8416
67, 0, 9610
67, 1, 5916
67, 2, 8727
67, 3, 7989
67, 4, 3611
67, 5, 442
67, 6, 5187
67, 7, 1933
67, 8, 6832
68, 0, 6049
68, 1, 8913
69, 0, 2909
69, 1, 6322
69, 2, 5087
69, 3, 8456
69, 4, 9125
70, 0, 9027
70, 1, 128
70, 2, 9682
70, 3, 368
70, 4, 8286
70, 5, 8860
70, 6, 9916
71, 0, 4800
72, 0, 5615
72, 1, 970
72, 2, 100
72, 3, 4375
72, 4, 9622
72, 5, 8476
72, 6, 9822
72, 7, 2175
72, 8, 6109
73, 0, 7247
74, 0, 2427
74, 1, 6947
74, 2, 7438
74, 3, 4382
74, 4, 8015
75, 0, 2002
75, 1, 1420
75, 2, 5711
75, 3, 1897
75, 4, 3218
76, 0, 8528
76, 1, 329
76, 2, 1743
76, 3, 2173
76, 4, 2034
76, 5, 654
76, 6, 4713
76, 7, 3884
77, 0, 985
77, 1, 9217
77, 2, 5270
77, 3, 7078
77, 4, 8910
78, 0, 2831
78, 1, 2102
79, 0, 1474
79, 1, 9051
79, 2, 5170
79, 3, 5281
79, 4, 8014
79, 5, 4029
79, 6, 9030
79, 7, 8799
79, 8, 4023
79, 9, 7554
80, 0, 6174
80, 1, 6503
80, 2, 4940
80, 3, 7734
80, 4, 9868
80, 5, 3635
80, 6, 6269
81, 0, 1125
81, 1, 4492
81, 2, 3203
81, 3, 5775
82, 0, 8571
82, 1, 9583
82, 2, 137
82, 3, 3183
82, 4, 5979
82, 5, 349
82, 6, 2845
83, 0, 2563
83, 1, 9450
83, 2, 633
83, 3, 2720
83, 4, 9851
83, 5, 4543
83, 6, 8090
84, 0, 8183
84, 1, 3955
84, 2, 674
85, 0, 1192
85, 1, 9392
85, 2, 2666
85, 3, 3001
85, 4, 3611
86, 0, 5820
86, 1, 7138
86, 2, 207
86, 3, 8215
86, 4, 1291
86, 5, 8945
86, 6, 4912
87, 0, 4653
87, 1, 7588
87, 2, 5077
87, 3, 7882
87, 4, 9229
87, 5, 3045
88, 0, 3412
89, 0, 3350
89, 1, 5689
89, 2, 4529
89, 3, 5048
90, 0, 7900
90, 1, 7371
90, 2, 8833
90, 3, 5361
90, 4, 9037
90, 5, 4435
90, 6, 1708
90, 7, 9968
90, 8, 4751
90, 9, 5322
90, 10, 6169
91, 0, 8345
92, 0, 7574
92, 1, 6365
92, 2, 6021
92, 3, 9391
92, 4, 7007
92, 5, 1725
92, 6, 2008
92, 7, 9493
92, 8, 153
92, 9, 4505
92, 10, 5714
93, 0, 9540
93, 1, 7819
93, 2, 1522
93, 3, 9157
94, 0, 7422
94, 1, 5562
94, 2, 5965
94, 3, 5870
94, 4, 9515
94, 5, 3048
95, 0, 7722
95, 1, 3465
95, 2, 6414
95, 3, 5192
95, 4, 6990
95, 5, 225
96, 0, 8851
96, 1, 3073
96, 2, 3418
96, 3, 5261
96, 4, 4689
97, 0, 3164
97, 1, 4263
97, 2, 6006
97, 3, 2626
97, 4, 7068
97, 5, 5175
97, 6, 3926
97, 7, 9604
97, 8, 1783
97, 9, 5420
98, 0, 6120
98, 1, 8490
98, 2, 6441
98, 3, 9001
98, 4, 4612
98, 5, 3113
99, 0, 8382
99, 1, 6707
99, 2, 3628
100, 0, 4987
100, 1, 33
100, 2, 72
100, 3, 8505
100, 4, 5240
100, 5, 1961
101, 0, 3060
101, 1, 7312
102, 0, 6355
102, 1, 2989
102, 2, 4733
103, 0, 2674
103, 1, 8376
103, 2, 6450
103, 3, 6524
104, 0, 3116
104, 1, 3703
104, 2, 8438
104, 3, 3259
104, 4, 5929
105, 0, 7098
105, 1, 4962
105, 2, 5560
105, 3, 5205
105, 4, 1800
105, 5, 4044
106, 0, 647
106, 1, 3251
106, 2, 5378
106, 3, 8400
106, 4, 4360
106, 5, 2037
107, 0, 5270
107, 1, 27
107, 2, 2591
107, 3, 7041
107, 4, 5564
107, 5, 17
107, 6, 5683
107, 7, 8376
108, 0, 3274
108, 1, 6272
108, 2, 7436
108, 3, 8331
108, 4, 8849
108, 5, 1814
108, 6, 4600
108, 7, 8723
108, 8, 460
108, 9, 788
108, 10, 6638
109, 0, 2194
109, 1, 8488
109, 2, 4681
109, 3, 5633
109, 4, 907
109, 5, 5772
110, 0, 8968
110, 1, 7118
110, 2, 3608
110, 3, 110
110, 4, 7205
110, 5, 362
111, 0, 8446
111, 1, 1412
111, 2, 6119
111, 3, 6084
112, 0, 7202
113, 0, 3550
113, 1, 6984
113, 2, 6081
113, 3, 9696
113, 4, 8406
113, 5, 7749
114, 0, 3686
114, 1, 2645
114, 2, 8342
114, 3, 7524
115, 0, 176
115, 1, 3562
115, 2, 3332
115, 3, 8059
115, 4, 1799
115, 5, 8030
115, 6, 2332
116, 0, 9961
116, 1, 4
116, 2, 5997
116, 3, 4056
116, 4, 6862
116, 5, 3542
116, 6, 7368
116, 7, 7110
117, 0, 7024
117, 1, 7796
117, 2, 2792
117, 3, 8686
117, 4, 3094
117, 5, 2407
117, 6, 435
117, 7, 6688
117, 8, 625
117, 9, 6708
117, 10, 4449
117, 11, 5879
117, 12, 3105
117, 13, 7942
117, 14, 1332
117, 15, 2940
118, 0, 7830
118, 1, 8700
118, 2, 7640
118, 3, 4936
118, 4, 8372
118, 5, 4664
118, 6, 5761
118, 7, 8829
118, 8, 4669
118, 9, 9700
118, 10, 4318
119, 0, 6209
119, 1, 477
119, 2, 2120
119, 3, 3748
119, 4, 8881
119, 5, 389
119, 6, 1449
120, 0, 1540
120, 1, 4506
120, 2, 4031
120, 3, 7074
120, 4, 4446
120, 5, 9596
121, 0, 7757
121, 1, 6827
121, 2, 3080
121, 3, 1215
121, 4, 1011
121, 5, 4738
121, 6, 4811
121, 7, 1561
121, 8, 8643
121, 9, 5551
121, 10, 6465
122, 0, 1316
122, 1, 812
122, 2, 1001
122, 3, 8616
122, 4, 2472
123, 0, 8833
123, 1, 420
123, 2, 5181
123, 3, 2004
123, 4, 1874
123, 5, 7602
123, 6, 1849
123, 7, 6423
123, 8, 9876
123, 9, 5259
123, 10, 722
124, 0, 3110
124, 1, 7281
124, 2, 3559
124, 3, 3802
124, 4, 5559
124, 5, 1205
125, 0, 4458
125, 1, 4381
125, 2, 9988
125, 3, 590
126, 0, 8517
126, 1, 8878
127, 0, 3220
128, 0, 3205
128, 1, 6790
128, 2, 567
128, 3, 7193
128, 4, 5103
129, 0, 6249
129, 1, 2714
130, 0, 4829
130, 1, 5083
130, 2, 5009
130, 3, 5237
130, 4, 9472
130, 5, 3402
131, 0, 2258
131, 1, 9688
131, 2, 4365
131, 3, 3330
132, 0, 3147
133, 0, 4942
133, 1, 1677
133, 2, 5613
133, 3, 9729
133, 4, 5511
134, 0, 7114
134, 1, 7397
134, 2, 446
134, 3, 5929
134, 4, 8297
134, 5, 765
134, 6, 456
134, 7, 6799
135, 0, 5881
136, 0, 3946
136, 1, 6980
136, 2, 6348
136, 3, 445
136, 4, 4211
136, 5, 4899
136, 6, 9077
136, 7, 6562
136, 8, 3594
137, 0, 4029
137, 1, 97
137, 2, 4953
137, 3, 7433
137, 4, 1826
137, 5, 82
137, 6, 8557
137, 7, 7805
138, 0, 6433
138, 1, 6791
138, 2, 3843
138, 3, 945
138, 4, 7143
138, 5, 6873
138, 6, 9231
139, 0, 427
139, 1, 3521
139, 2, 4913
139, 3, 5527
140, 0, 7149
141, 0, 9535
141, 1, 1334
141, 2, 1763
141, 3, 7295
142, 0, 5676
142, 1, 5554
142, 2, 9323
142, 3, 6901
142, 4, 7896
143, 0, 6143
143, 1, 6058
143, 2, 2752
143, 3, 4245
143, 4, 5921
143, 5, 3791
143, 6, 1674
143, 7, 9643
143, 8, 4736
143, 9, 1103
143, 10, 2802
144, 0, 2168
144, 1, 6102
144, 2, 7267
144, 3, 9718
144, 4, 8318
144, 5, 4331
145, 0, 9894
145, 1, 9971
145, 2, 4649
145, 3, 2147
145, 4, 2819
145, 5, 9639
145, 6, 8674
146, 0, 8309
146, 1, 7651
146, 2, 7473
146, 3, 5382
147, 0, 5577
147, 1, 246
147, 2, 3126
147, 3, 6778
147, 4, 9503
148, 0, 3427
148, 1, 3971
149, 0, 5455
149, 1, 7201
149, 2, 5724
149, 3, 2998
149, 4, 9657
150, 0, 1340
150, 1, 7428
151, 0, 1844
151, 1, 5845
151, 2, 4561
152, 0, 5820
152, 1, 7019
152, 2, 2378
152, 3, 9220
152, 4, 3394
153, 0, 9021
153, 1, 92
153, 2, 9126
153, 3, 6480
153, 4, 3190
154, 0, 1594
154, 1, 8777
154, 2, 9861
154, 3, 3520
154, 4, 867
154, 5, 1965
155, 0, 3364
155, 1, 9777
155, 2, 4088
155, 3, 4949
155, 4, 6856
155, 5, 9567
155, 6, 9977
156, 0, 813
157, 0, 6829
157, 1, 7743
157, 2, 6826
157, 3, 9616
157, 4, 8286
157, 5, 1540
158, 0, 4684
158, 1, 3397
158, 2, 3289
158, 3, 7865
158, 4, 3256
158, 5, 2099
158, 6, 8739
158, 7, 7127
159, 0, 2317
159, 1, 6512
159, 2, 6254
159, 3, 9822
159, 4, 6491
159, 5, 1892
159, 6, 8210
160, 0, 1154
160, 1, 9445
160, 2, 2656
160, 3, 6690
160, 4, 1331
160, 5, 2296
160, 6, 3000
161, 0, 2453
161, 1, 5008
161, 2, 5920
161, 3, 9484
162, 0, 1339
162, 1, 9399
162, 2, 3378
162, 3, 7825
162, 4, 55
162, 5, 959
162, 6, 1760
162, 7, 6255
162, 8, 4412
163, 0, 4651
163, 1, 8616
163, 2, 4535
163, 3, 5630
163, 4, 6070
163, 5, 2962
163, 6, 3711
164, 0, 8644
164, 1, 1298
164, 2, 5166
164, 3, 7959
164, 4, 7462
164, 5, 6377
164, 6, 1074
164, 7, 8998
164, 8, 9805
165, 0, 3630
165, 1, 9373
165, 2, 7798
165, 3, 8296
165, 4, 9546
166, 0, 702
166, 1, 1778
166, 2, 477
166, 3, 9943
166, 4, 1398
166, 5, 7984
166, 6, 9929
167, 0, 2384
167, 1, 2555
167, 2, 705
167, 3, 2347
167, 4, 1985
167, 5, 9748
168, 0, 9566
168, 1, 7961
168, 2, 8356
169, 0, 9517
169, 1, 3836
169, 2, 7253
170, 0, 1061
170, 1, 9244
170, 2, 3260
170, 3, 1640
170, 4, 3003
170, 5, 8511
171, 0, 1143
171, 1, 194
171, 2, 2103
171, 3, 9142
171, 4, 9805
171, 5, 2323
171, 6, 7240
171, 7, 1546
172, 0, 3384
172, 1, 3226
172, 2, 594
172, 3, 5678
172, 4, 3804
172, 5, 6868
172, 6, 2825
173, 0, 2185
173, 1, 4900
173, 2, 7229
173, 3, 9295
173, 4, 7650
173, 5, 2898
174, 0, 1346
174, 1, 4643
174, 2, 6350
174, 3, 7785
174, 4, 9919
174, 5, 3766
174, 6, 4522
174, 7, 3279
175, 0, 3754
175, 1, 4325
175, 2, 7308
175, 3, 4868
175, 4, 2775
175, 5, 8694
175, 6, 6955
175, 7, 5146
176, 0, 3579
176, 1, 5003
176, 2, 3492
176, 3, 1498
176, 4, 9720
176, 5, 4327
176, 6, 785
176, 7, 9290
176, 8, 115
176, 9, 5734
177, 0, 7290
177, 1, 2606
177, 2, 9881
177, 3, 700
177, 4, 9828
177, 5, 777
177, 6, 2369
178, 0, 5752
178, 1, 2023
178, 2, 2729
178, 3, 9015
178, 4, 6926
178, 5, 8160
179, 0, 3515
179, 1, 9181
179, 2, 6509
179, 3, 2186
180, 0, 4631
180, 1, 5713
180, 2, 1141
180, 3, 4337
180, 4, 3024
180, 5, 6438
180, 6, 371
180, 7, 7698
180, 8, 167
181, 0, 6190
181, 1, 8755
181, 2, 1785
181, 3, 1674
181, 4, 8719
181, 5, 6322
181, 6, 2060
181, 7, 371
182, 0, 6809
182, 1, 644
182, 2, 2838
182, 3, 7990
182, 4, 2664
182, 5, 6191
182, 6, 2680
183, 0, 4729
183, 1, 5367
183, 2, 6574
183, 3, 2051
183, 4, 2608
183, 5, 145
183, 6, 6442
184, 0, 1717
184, 1, 4259
184, 2, 6745
184, 3, 5234
185, 0, 6198
185, 1, 6155
185, 2, 3302
185, 3, 918
185, 4, 9520
186, 0, 4483
186, 1, 9293
186, 2, 1181
186, 3, 5617
186, 4, 404
186, 5, 7848
187, 0, 9361
187, 1, 5062
187, 2, 5610
187, 3, 3539
187, 4, 7332
187, 5, 6942
187, 6, 3879
188, 0, 5542
188, 1, 5315
188, 2, 6654
188, 3, 8298
188, 4, 3575
188, 5, 2237
188, 6, 454
188, 7, 8605
188, 8, 5194
189, 0, 8450
190, 0, 3944
190, 1, 672
191, 0, 2837
192, 0, 6232
192, 1, 7352
192, 2, 5012
192, 3, 1623
193, 0, 8149
193, 1, 3531
193, 2, 4592
193, 3, 8046
193, 4, 8192
193, 5, 1170
193, 6, 8836
193, 7, 9685
194, 0, 1283
194, 1, 8408
195, 0, 5880
195, 1, 2123
195, 2, 649
195, 3, 539
196, 0, 5172
196, 1, 6243
196, 2, 9068
196, 3, 6638
196, 4, 3470
196, 5, 8209
196, 6, 9755
197, 0, 8918
197, 1, 2038
197, 2, 5010
197, 3, 3655
197, 4, 3069
198, 0, 8446
198, 1, 7667
199, 0, 851
199, 1, 2213
199, 2, 3912
199, 3, 7785
199, 4, 4920
200, 0, 6019
200, 1, 9290
201, 0, 1424
201, 1, 3402
201, 2, 3532
201, 3, 7706
201, 4, 1025
201, 5, 6858
201, 6, 2515
201, 7, 6674
201, 8, 5865
201, 9, 574
202, 0, 6271
202, 1, 9349
202, 2, 5809
202, 3, 5402
202, 4, 8331
202, 5, 4221
203, 0, 9573
203, 1, 4472
203, 2, 6005
203, 3, 9492
203, 4, 2601
204, 0, 1315
204, 1, 3892
204, 2, 9752
204, 3, 7175
204, 4, 9459
204, 5, 5004
204, 6, 1323
205, 0, 7050
205, 1, 8170
206, 0, 3866
206, 1, 3248
206, 2, 1599
206, 3, 2808
206, 4, 8784
206, 5, 4986
206, 6, 9273
206, 7, 7393
207, 0, 1134
207, 1, 1733
207, 2, 1999
207, 3, 7351
208, 0, 540
208, 1, 2529
208, 2, 3346
208, 3, 9838
208, 4, 8696
208, 5, 4000
208, 6, 9682
208, 7, 8336
208, 8, 9485
208, 9, 3917
209, 0, 4268
209, 1, 8681
209, 2, 1165
209, 3, 5357
209, 4, 5480
209, 5, 1164
209, 6, 749
210, 0, 7811
210, 1, 9197
211, 0, 1268
211, 1, 9648
211, 2, 6111
211, 3, 7636
211, 4, 3390
211, 5, 6242
212, 0, 5463
212, 1, 5181
212, 2, 3051
213, 0, 8009
213, 1, 2510
213, 2, 1218
214, 0, 9816
214, 1, 6968
214, 2, 3411
214, 3, 2577
214, 4, 1459
214, 5, 5026
214, 6, 6346
215, 0, 4929
216, 0, 8249
216, 1, 9867
216, 2, 8307
216, 3, 2231
217, 0, 1449
217, 1, 2297
217, 2, 5418
218, 0, 9703
218, 1, 5479
218, 2, 7437
218, 3, 1603
218, 4, 6446
218, 5, 2334
218, 6, 5866
219, 0, 9215
219, 1, 7082
219, 2, 8472
219, 3, 6732
219, 4, 5542
219, 5, 2958
219, 6, 5556
219, 7, 220
220, 0, 2161
220, 1, 219
221, 0, 2576
221, 1, 5693
221, 2, 2115
221, 3, 8119
221, 4, 9585
221, 5, 1584
221, 6, 6356
221, 7, 8477
222, 0, 7520
222, 1, 1001
222, 2, 809
222, 3, 4642
223, 0, 4709
224, 0, 7481
224, 1, 5569
224, 2, 6982
224, 3, 6363
224, 4, 9439
224, 5, 5479
224, 6, 3690
225, 0, 6149
225, 1, 1787
225, 2, 867
225, 3, 886
226, 0, 7737
226, 1, 7053
226, 2, 8826
226, 3, 7986
226, 4, 6861
226, 5, 1216
226, 6, 6774
227, 0, 8194
227, 1, 9718
227, 2, 471
227, 3, 2928
227, 4, 4070
227, 5, 5355
227, 6, 1442
227, 7, 2907
228, 0, 7734
228, 1, 8531
228, 2, 2395
228, 3, 5093
229, 0, 1787
229, 1, 2882
229, 2, 8531
229, 3, 4479
229, 4, 1335
229, 5, 303
229, 6, 8411
230, 0, 9076
230, 1, 9142
231, 0, 8224
231, 1, 9124
231, 2, 5537
231, 3, 4659
231, 4, 4298
231, 5, 9949
231, 6, 98
232, 0, 9623
232, 1, 394
232, 2, 7015
232, 3, 5085
232, 4, 5168
233, 0, 5037
233, 1, 6410
233, 2, 6236
233, 3, 4372
233, 4, 4261
233, 5, 3363
233, 6, 758
233, 7, 5815
233, 8, 5163
233, 9, 1646
233, 10, 6583
234, 0, 8715
234, 1, 6812
234, 2, 9422
234, 3, 8649
235, 0, 1792
235, 1, 8066
235, 2, 9637
235, 3, 4902
235, 4, 406
235, 5, 8871
235, 6, 8982
235, 7, 3225
235, 8, 560
235, 9, 611
236, 0, 4936
236, 1, 6658
236, 2, 5770
236, 3, 5246
236, 4, 5193
236, 5, 2065
236, 6, 662
236, 7, 4135
237, 0, 2384
237, 1, 2636
237, 2, 6648
237, 3, 8502
237, 4, 5575
238, 0, 2334
239, 0, 435
239, 1, 2073
239, 2, 7069
239, 3, 2972
239, 4, 8463
239, 5, 3211
240, 0, 9705
240, 1, 3604
240, 2, 2605
240, 3, 4157
240, 4, 3283
240, 5, 1092
240, 6, 8257
240, 7, 9575
241, 0, 365
241, 1, 3195
242, 0, 1188
242, 1, 3233
242, 2, 4414
242, 3, 9962
242, 4, 2206
243, 0, 5741
243, 1, 9576
243, 2, 4410
243, 3, 9914
243, 4, 1730
243, 5, 6981
243, 6, 1904
243, 7, 2496
243, 8, 2327
243, 9, 3736
244, 0, 8947
244, 1, 8529
244, 2, 9399
244, 3, 2164
244, 4, 5569
244, 5, 6900
244, 6, 8411
244, 7, 7118
244, 8, 5819
244, 9, 6730
245, 0, 3243
245, 1, 6989
245, 2, 1106
245, 3, 5789
245, 4, 7987
246, 0, 8906
246, 1, 1003
246, 2, 5427
246, 3, 2985
246, 4, 6158
246, 5, 557
246, 6, 258
246, 7, 9541
246, 8, 2293
246, 9, 6443
246, 10, 552
246, 11, 4348
247, 0, 2576
247, 1, 8323
247, 2, 4657
247, 3, 4410
248, 0, 7864
248, 1, 9011
249, 0, 2572
249, 1, 487
249, 2, 1890
249, 3, 1111
249, 4, 6386
249, 5, 3909
250, 0, 4873
251, 0, 2099
251, 1, 1907
252, 0, 350
252, 1, 8581
252, 2, 4244
252, 3, 4643
252, 4, 6758
252, 5, 5118
252, 6, 7564
252, 7, 1746
253, 0, 38
253, 1, 460
253, 2, 4250
253, 3, 7733
253, 4, 8437
253, 5, 2993
253, 6, 9222
253, 7, 9654
253, 8, 5598
253, 9, 7535
253, 10, 372
254, 0, 1095
254, 1, 3803
254, 2, 100
254, 3, 2895
254, 4, 7398
254, 5, 2692
254, 6, 8282
255, 0, 6463
255, 1, 8906
256, 0, 4413
256, 1, 6145
256, 2, 8084
257, 0, 1262
257, 1, 4735
258, 0, 334
258, 1, 3099
258, 2, 583
258, 3, 4577
258, 4, 246
258, 5, 1193
259, 0, 5469
259, 1, 3911
259, 2, 8908
259, 3, 2127
259, 4, 3309
259, 5, 6862
259, 6, 8705
259, 7, 7404
260, 0, 5707
260, 1, 8084
260, 2, 1099
260, 3, 9843
260, 4, 4347
260, 5, 4653
260, 6, 6677
260, 7, 7671
261, 0, 4736
261, 1, 873
261, 2, 308
261, 3, 352
261, 4, 855
262, 0, 9944
262, 1, 3747
262, 2, 7566
262, 3, 255
262, 4, 9945
262, 5, 4935
262, 6, 5247
262, 7, 3021
262, 8, 2241
263, 0, 9815
263, 1, 7861
263, 2, 492
264, 0, 1691
264, 1, 7358
264, 2, 5713
264, 3, 7822
264, 4, 5917
264, 5, 1428
264, 6, 1574
265, 0, 105
265, 1, 7512
265, 2, 8879
265, 3, 3560
266, 0, 6510
266, 1, 1217
267, 0, 9747
267, 1, 8624
267, 2, 3743
267, 3, 1056
267, 4, 8293
267, 5, 9826
267, 6, 8644
267, 7, 916
268, 0, 2926
268, 1, 7988
268, 2, 5195
268, 3, 6877
268, 4, 7874
268, 5, 8298
269, 0, 5428
269, 1, 8480
269, 2, 5009
269, 3, 6415
270, 0, 9592
270, 1, 3235
270, 2, 2525
270, 3, 5489
270, 4, 8282
270, 5, 7125
271, 0, 6917
271, 1, 9173
271, 2, 1832
271, 3, 4066
271, 4, 7021
271, 5, 6574
271, 6, 5149
271, 7, 1496
271, 8, 7464
271, 9, 6905
272, 0, 9180
